track,artist,date,rating
b'Earth',b'Lil Dicky',18 April 2019 ,0.68
"b""I'm a Stupid Hoe""",b'Bart Baker',17 February 2012 ,0.62
b'Happy Ending',b'Hopsin',13 October 2017 ,0.69
b'Whiteboy',b'Tom MacDonald',9 February 2018 ,0.71
"b""I'm With Her""",b'Le Tigre',19 October 2016 ,0.73
b'Frick da Police',b'RiceGum',10 October 2017 ,0.65
"b""It's Everyday Bro""",b'Jake Paul',30 May 2017 ,0.80
,,,
b'I Admit',b'R. Kelly',23 July 2018 ,0.75
b'We Are the World',b'Artists for Haiti',12 February 2010 ,0.82
b'Flatline',b'B.o.B',26 January 2016 ,0.83
b'Take a Knee... My Ass!!',b'Neal McCoy',10 November 2017 ,0.82
"b""It's Every Night Sis""",b'RiceGum',9 June 2017 ,0.78
b'Straight White Male',b'Tom MacDonald',24 May 2019 ,0.74
b'Mumble Rapper vs. Lyricist',b'Vin Jay',23 February 2019 ,0.87
,,,
b'The Clap',b'Perez Hilton',4 September 2008 ,0.74
b'Play That Song',b'Train',29 September 2016 ,0.88
b'Ohio Fried Chicken',b'Jake Paul',17 June 2017 ,0.76
b'Marvin Gaye',b'Charlie Puth',10 February 2015 ,0.95
b'Freaky Friday',b'Lil Dicky',15 March 2018 ,0.93
"b""That Ain't on the News""",b'Jake Paul',5 August 2017 ,0.75
b'Transphobic Techno (Bitch Got a Penis)',b'Your Favorite Martian',18 May 2011 ,0.92
,,,
b'Jake Paulers',b'Jake Paul',6 September 2017 ,0.66
b'Dear Future Husband',b'Meghan Trainor',17 March 2015 ,0.98
b'RIP Harambe',b'Emo G Records',30 March 2019 ,0.96
b'Fly',b'Hopsin',8 July 2015 ,0.93
b'Sweatshirt',b'Jacob Sartorius',3 May 2016 ,0.94
b'Death to Mumble Rap',b'Gawne',10 December 2019 ,0.72
b'Bad (Remix by Afrojack Featuring Pitbull - DJ Buddha Edit)',b'Michael Jackson',14 August 2012 ,0.92
,,,
b'Everybody Hates Me',b'Tom MacDonald',10 November 2018 ,0.86
b'Yummy (Country Remix)',b'Justin Bieber',19 February 2020 ,0.85
b'Flossin',b'The Back Pack Kid',20 November 2017 ,0.81
b'If I Was Black',b'Tom MacDonald',19 July 2019 ,0.88
b'The Christmas Shoes',b'Newsong',2000,0.75
b'Politically Incorrect',b'Tom MacDonald',29 June 2018 ,0.88
b'We Are the Champions (Ding a Dang Dong)',b'Crazy Frog',5 June 2006 ,0.95
,,,
b'Jingle Bells / Last Christmas',b'Crazy Frog',December 2005 ,0.88
b'Under Pressure (Ice Ice Baby)',b'Jedward',29 January 2010 ,0.96
b'BEBE',b'6ix9ine',31 August 2018 ,1.00
b'God Bless the USA',b'Beyonc\xc3\xa9',6 May 2011 ,0.99
b'Jerika',b'Jake Paul',12 July 2017 ,0.77
,,,
,,,
b'#SELFIE',b'The Chainsmokers',28 January 2014 ,1.08
b'Alone',b'Falling in Reverse',7 May 2013 ,0.95
b'#WHERESTHELOVE',b'Black Eyed Peas',31 August 2016 ,1.03
b'Hate My Life',b'Theory of a Deadman',23 March 2009 ,1.00
"b""It's Everyday Bro (Remix)""",b'Jake Paul',22 November 2017 ,0.73
"b""Jingle Bells / U Can't Touch This""",b'Crazy Frog',12 December 2005 ,0.83
b'Get Lit',b'Will Smith',6 October 2017 ,0.95
,,,
b'Hero',b'Logan Paul',20 June 2017 ,0.80
b'To nie mia\xc5\x82o prawa si\xc4\x99 sta\xc4\x87 (Muzyka z filmu Pi\xc5\x82sudski)',b'\xc3\x98rganek',29 July 2019 ,0.72
b'Ocean to Ocean',b'Pitbull',14 December 2018 ,0.97
b'PopoZ\xc3\xa3o',b'Kevin Federline',2006,1.08
b'Twisted',b'French Montana',11 October 2019 ,0.89
b'Burger Dance',b'DJ \xc3\x96tzi',2003,0.86
"b""You're Beautiful""",b'Onision',21 July 2012 ,0.59
,,,
b'Yummy',b'Justin Bieber',3 January 2020 ,1.19
b'McCain Palin Tradition',"b'Hank Williams, Jr.'",October 2008 ,0.88
b'Young and Menace',b'Fall Out Boy',27 April 2017 ,1.15
b'Mignon Mignon',b'Ren\xc3\xa9 La Taupe',9 July 2010 ,0.92
"b'4\'33""'",b'Cage Against the Machine',12 December 2010 ,1.08
b'Last Christmas',b'Crazy Frog',2006,0.81
b'Thunder',b'Imagine Dragons',28 April 2017 ,1.16
,,,
b'What a Wonderful World',b'Kenny G',20 July 1999 ,1.04
b'Treat You Better',b'Shawn Mendes',3 June 2016 ,1.18
b'Hit or Miss',b'Jacob Sartorius',25 July 2016 ,0.95
b'Teach Me How to Scream / Da House Party',b'Brokencyde',5 October 2010 ,1.00
b'Body Like a Back Road',b'Sam Hunt',6 February 2017 ,1.15
b'Do It Again',b'Mike Love',4 July 2017 ,0.83
b'Watch Me',b'Silent\xc3\xb3',22 January 2015 ,1.22
,,,
"b""I'm Single""",b'Jake Paul',1 March 2019 ,0.83
b'Booty Call',b'Brokencyde',19 May 2009 ,1.13
b'Bastards',b'Machine Head',11 January 2018 ,1.05
b'Trapped',b'Jumex',30 November 2018 ,1.05
b'Go 4 It',b'Corey Feldman',22 May 2016 ,1.07
b'Jam (Turn It Up)',b'Kim Kardashian',2 March 2011 ,1.19
b'Tacat\xc3\xa0',b'Tacabro',5 January 2012 ,1.04
,,,
b'Winning!',b'Charlie Sheen',10 May 2011 ,1.05
"b""Honey, I'm Good""",b'Andy Grammer',11 November 2014 ,1.18
b'Dancing on My Own',b'Calum Scott',3 June 2016 ,1.00
b'eXplosion',b'Black Eyed Peas',4 October 2019 ,0.96
"b""Tig Ol' Bitties""",b'Your Favorite Martian',15 June 2011 ,1.02
,,,
,,,
b'Girls Like You',b'Maroon 5',30 May 2018 ,1.25
b'All Summer Long',b'Kid Rock',13 June 2008 ,1.22
"b""These Boots Are Made for Walkin'""",b'Jessica Simpson',28 June 2005 ,1.21
b'New Americana',b'Halsey',10 July 2015 ,1.23
b'Love Song to the Earth',b'Natasha Bedingfield',4 September 2015 ,1.15
b'Xo Tour Llif3',b'Fame on Fire',1 June 2017 ,1.14
b'Africa',b'Karl Wolf',December 2008 ,0.97
,,,
b'You Done Goofed',b'Blood on the Dance Floor',22 July 2010 ,0.92
b'100 Bad Days',b'AJR',30 January 2019 ,1.14
"b""Surfin' USA""",b'Aaron Carter',1998,0.90
b'Moon River',b'A$AP Ferg',4 May 2018 ,1.04
b'Piggyback',b'Melanie Martinez',22 December 2017 ,1.02
b'7 Years',b'Lukas Graham',18 September 2015 ,1.24
b'Sad Rappers',b'Tom MacDonald',1 March 2019 ,0.95
,,,
b'Mr. Douchebag',b'Your Favorite Martian',4 May 2011 ,1.01
b'Bitch Came Back',b'Theory of a Deadman',15 August 2011 ,1.01
b'The Lazy Song',b'Bruno Mars',18 February 2011 ,1.30
b'The Stereotypes Song',b'Your Favorite Martian',23 March 2011 ,1.02
b'Lips of an Angel',b'Hinder',24 July 2006 ,1.23
b'YourWorthIt.org',b'Dax',6 July 2018 ,0.94
b'Daddy DJ',b'Crazy Frog',27 July 2009 ,0.82
,,,
b'Strip That Down',b'Liam Payne',19 May 2017 ,1.28
b'All My Friends',b'Owl City',3 November 2017 ,1.05
b'Gucci Gang',b'Fame on Fire',10 November 2017 ,0.83
b'Original',b'Unkle Adams',19 March 2016 ,1.21
b'Rockstar',b'Nickelback',27 October 2007 ,1.30
b'Hello Kitty',b'Avril Lavigne',2014,1.27
"b""Tonight (I'm F**kin' You)""",b'Enrique Iglesias',22 November 2010 ,1.27
,,,
b'Fefe',b'6ix9ine',22 July 2018 ,1.31
b'One Less Lonely Girl',b'Justin Bieber',6 October 2009 ,1.23
b'Cruise',b'Florida Georgia Line',10 April 2012 ,1.29
b'Fuck Christ',b'Satanic Army',August 2006 ,1.20
b'Lacradora',b'Claudia Leitte',8 December 2017 ,0.79
b'Lanes',b'DJ Akademiks',13 February 2019 ,1.08
b'Summer of Love',b'The Beach Boys',1995,1.16
,,,
b'God Church',b'RiceGum',22 July 2017 ,0.75
b'Middle Fingers',b'Missio',30 January 2017 ,1.05
b'Popcorn',b'Crazy Frog',22 August 2005 ,1.18
b'Surrounded by Silence',b'Design the Skyline',12 March 2011 ,1.24
b'Peach Scone',b'Hobo Johnson',17 April 2018 ,1.30
,,,
,,,
b'All About That Bass',b'Meghan Trainor',30 June 2014 ,1.35
b'The Climb',b'Joe McElderry',16 December 2009 ,1.08
"b'Hey, Soul Sister'",b'Train',11 August 2009 ,1.35
b'The Sound of Silence',b'Disturbed',16 April 2016 ,1.30
b'Strip No More',b'Lukas Graham',16 June 2015 ,0.95
