track,artist,date,rating
"b'Breadcrumb Trail / Good Morning, Captain'",b'Slint',18 April 2020 ,4.77
b'Disintegration / Plainsong',b'The Cure',1989,4.21
b'Heroes - Helden / Heroes - H\xc3\xa9ros',b'David Bowie',1982,4.15
b'Golden Slumbers/Carry That Weight / Here Comes the Sun',b'The Beatles',1969,4.24
b'The Ecstasy of Gold',b'Ennio Morricone',28 June 2013 ,4.26
"b""She's Lost Control / Dead Souls""",b'Joy Division',2007,4.19
b'Hung Up on a Dream / A Rose for Emily',b'The Zombies',1969,4.17
,,,
b'\xe3\x82\xbd\xe3\x83\xbc\xe3\x83\xbb\xe3\x83\x9b\xe3\x83\xaf\xe3\x83\x83\xe3\x83\x88 (So What) / \xe3\x82\xaa\xe3\x83\xbc\xe3\x83\xab\xe3\x83\xbb\xe3\x83\x96\xe3\x83\xab\xe3\x83\xbc\xe3\x82\xb9 (All Blues)',b'Miles Davis',October 1966 ,4.23
b'The End of Evangelion',b'Shiro Sagisu',1 August 1997 ,4.10
b'A Change Is Gonna Come / Sad Mood',b'Sam Cooke',,4.18
"b""Moanin' (Part I) / Moanin' (Part II)""",b'Art Blakey',1959,4.10
"b""Un titre de l'album Vespertine [Unison]""",b'Bj\xc3\xb6rk',10 August 2001 ,4.07
"b""Wouldn't It Be Nice / Sloop John B""",b'The Beach Boys',1973,4.12
b'The End / The Delta',b'The Doors',1979,4.09
,,,
b'Helden / V-2 Schneider',b'David Bowie',October 1977 ,4.04
b'Born Slippy .NUXX',b'Underworld',1 July 1996 ,4.11
b'Christmas Time Is Here / What Child Is This',b'Vince Guaraldi',December 1965 ,4.02
"b""It's All Over Now, Baby Blue / I'm Gonna Dress in Black""",b'Them',24 April 1967 ,3.99
b'Check the Rhime / Award Tour',b'A Tribe Called Quest',1997,4.05
b'Whole Lotta Love / Immigrant Song',b'Led Zeppelin',September 1972 ,3.99
b'New Noise',b'Refused',1999,4.03
,,,
b'Iceblink Luck / Mizake the Mizan',b'Cocteau Twins',28 August 1990 ,4.05
b'100',b'Dean Blunt',13 April 2015 ,4.04
b'Erotic City (Dance Mix) / I Would Die 4 U (Extended Version)',b'Prince',1990,3.98
b'White Rabbit / Somebody to Love / Crown of Creation',b'Jefferson Airplane',1976,4.22
b'Virginia Plain / Pyjamarama',b'Roxy Music',October 1977 ,3.97
b'Day of the Lords / Wilderness',b'Joy Division',1979,4.07
b'Once I Was / Phantasmagoria in Two',b'Tim Buckley',January 1968 ,4.17
,,,
b'When I Was Done Dying',b'Dan Deacon',24 March 2015 ,4.05
"b""Can't Hardly Wait / Cool Water""",b'The Replacements',July 1987 ,3.98
b'Easter Theatre',b'XTC',2 April 1999 ,4.00
"b""I Just Wasn't Made for These Times / Wouldn't It Be Nice / Here Today""",b'The Beach Boys',June 1996 ,4.01
"b""La resa dei conti / Per qualche dollaro in piu'""",b'Ennio Morricone',May 1966 ,4.10
"b""Howlin' for My Darlin' / Spoonful""","b""Howlin' Wolf""",25 July 1960 ,3.93
"b""Tell Mama / I'd Rather Go Blind""",b'Etta James',November 1967 ,3.95
,,,
b'Four Women / What More Can I Say',b'Nina Simone',October 1966 ,4.11
b'The Bottle / Back Home',b'Gil Scott-Heron & Brian Jackson',1974,3.96
b'Fever / Letter From My Darling',b'Little Willie John',April 1956 ,3.96
"b""(Don't Fear) The Reaper / Burnin' for You""",b'Blue \xc3\x96yster Cult',1982,4.09
,,,
"b""Wouldn't It Be Nice / Caroline, No""",b'The Beach Boys',1975,4.06
b'Diamonds From Sierra Leone (Remix)',b'Kanye West',2005,4.05
b'Motion Sickness',b'Phoebe Bridgers',18 July 2017 ,3.99
b'In Your Room / Wasteland Cupid',b'Airiel',2003,3.97
b'Eine Symphonie des Grauens / Lester Leaps In',b'The Monochrome Set',April 1979 ,3.96
b'To Claudia on Thursday / There Is Nothing More to Say',b'The Millennium',October 1968 ,3.99
"b'Blue Train, Part I / Blue Train, Part II'",b'John Coltrane',1958,3.97
,,,
"b""The Obeah Man / You Don't Know What's Going On""",b'Exuma',1970,3.93
b'Dress Rehearsal Rag / Avalanche',b'Leonard Cohen',1971,3.96
b'Poncho & Lefty',b'Townes Van Zandt',1972,3.98
b'Wuthering Heights / The Man With the Child in His Eyes',b'Kate Bush',1983,4.20
"b""Ain't No Love in the Heart of the City / Twenty-Four Hour Blues""",b'Bobby Bland',July 1974 ,3.97
b'Demons Sing Love Songs',b'Unwound',7 October 2015 ,3.98
b'Stand By Me / When a Man Loves a Woman',b'Ben E. King',1987,4.11
,,,
b'Trans Europa Express / Franz Schubert',b'Kraftwerk',1977,3.93
b'America / Old Friends',b'Simon & Garfunkel',November 1972 ,3.95
b'Got My Mojo Working / Rock Me',b'Muddy Waters',March 1957 ,3.95
b'The Kiss / Down Where the Valleys Are Low',b'Judee Sill',January 1973 ,3.91
b'First Love / Late Spring',b'Mitski',15 May 2014 ,3.97
b'Luv(sic) Part Two',b'Shing02',2002,4.02
b'Paper Bag',b'Fiona Apple',2000,3.94
,,,
b'The Last Dance',b'Disco Inferno',1993,4.26
"b""Moon River / Breakfast at Tiffany's""","b'Henry Mancini, His Orchestra and Chorus'",9 October 1961 ,3.88
b'Johnny Johnny / Wigs',b'Prefab Sprout',January 1986 ,3.93
b'The Electrician / Den Haague',b'The Walker Brothers',1978,3.99
b'2 + 2 = ? / Death Row',b'The Bob Seger System',January 1968 ,3.91
b'The Star Room (OG VERSION)',b'Mac Miller',2014,3.98
b'Wonderful World / Chain Gang',b'Sam Cooke',February 1986 ,4.02
,,,
b'Caravan / Azure',b'Duke Ellington and His Famous Orchestra',18 June 1937 ,3.92
b'Cold Little Heart',b'Michael Kiwanuka',24 February 2017 ,4.01
"b'Take the ""A"" Train / The Sidewalks of New York'",b'Duke Ellington and His Famous Orchestra',11 April 1941 ,3.89
