track,artist,date,rating
"b""Wouldn't It Be Nice / God Only Knows""",b'The Beach Boys',18 July 1966 ,4.45
"b'""Heroes"" / V-2 Schneider'",b'David Bowie',23 September 1977 ,4.39
b'Life on Mars? / The Man Who Sold the World',b'David Bowie',22 June 1973 ,4.40
b'There Is a Light That Never Goes Out',b'The Smiths',June 1986 ,4.36
b'Penny Lane / Strawberry Fields Forever',b'The Beatles',17 February 1967 ,4.34
b'Running Up That Hill / Under the Ivy',b'Kate Bush',5 August 1985 ,4.34
b'When You Sleep',b'My Bloody Valentine',1991,4.35
,,,
b'Sunday Morning / Femme Fatale',b'The Velvet Underground',December 1966 ,4.35
b'Let Down / Karma Police',b'Radiohead',1997,4.31
b'How to Disappear Completely',b'Radiohead',2000,4.31
b'Marquee Moon',b'Television',April 1977 ,4.33
b'Paranoid Android',b'Radiohead',26 May 1997 ,4.28
"b""Good Vibrations / Let's Go Away for Awhile""",b'The Beach Boys',10 October 1966 ,4.30
b'Love Will Tear Us Apart / These Days',b'Joy Division',20 June 1980 ,4.24
,,,
b'Once in a Lifetime / Seen and Not Seen',b'Talking Heads',February 1981 ,4.31
b'Blue Monday / The Beach',b'New Order',7 March 1983 ,4.27
"b""Atmosphere / She's Lost Control""",b'Joy Division',September 1980 ,4.28
b'Voodoo Chile (Slight Return) / Hey Joe / All Along the Watchtower',b'The Jimi Hendrix Experience',23 October 1970 ,4.29
b'Wuthering Heights / Kite',b'Kate Bush',20 January 1978 ,4.27
b'Idioteque',b'Radiohead',November 2000 ,4.25
b'Starman / Suffragette City',b'David Bowie',14 April 1972 ,4.30
,,,
b'Be My Baby / Tedesco and Pitman',b'The Ronettes',August 1963 ,4.28
b'Runaway',b'Kanye West',4 October 2010 ,4.22
b'Just Like Heaven / Snow in Summer',b'The Cure',20 October 1987 ,4.25
b'Enjoy the Silence / Memphisto',b'Depeche Mode',5 February 1990 ,4.24
b'Epitaph / 21st Century Schizoid Man',b'King Crimson',January 1976 ,4.26
b'Ceremony / In a Lonely Place',b'New Order',6 March 1981 ,4.25
b'This Must Be the Place (Naive Melody) / Moon Rocks',b'Talking Heads',October 1983 ,4.25
,,,
b'Teenage Riot / Silver Rocket / Kissability',b'Sonic Youth',October 1988 ,4.26
b'Shook Ones Part II / Shook Ones Part I',b'Mobb Deep',27 February 1995 ,4.26
b'How Soon Is Now? / Well I Wonder',b'The Smiths',28 January 1985 ,4.25
b'This Charming Man / Jeane',b'The Smiths',28 October 1983 ,4.25
b'J\xc3\xb3ga',b'Bj\xc3\xb6rk',15 September 1997 ,4.26
b'Alison',b'Slowdive',1994,4.25
b'Space Oddity / Wild Eyed Boy From Freecloud',b'David Bowie',11 July 1969 ,4.23
,,,
b'Neighborhood #1 (Tunnels) / My Buddy',b'Arcade Fire',20 June 2004 ,4.21
b'Walk on the Wild Side / Perfect Day',b'Lou Reed',December 1972 ,4.23
b'Cloudbusting / Burning Bridge',b'Kate Bush',4 October 1985 ,4.24
b'Like a Rolling Stone / Gates of Eden',b'Bob Dylan',20 July 1965 ,4.21
b'Alone Again Or / A House Is Not a Motel',b'Love',January 1968 ,4.22
,,,
,,,
"b""(Sittin' On) The Dock of the Bay / Sweet Lorene""",b'Otis Redding',8 January 1968 ,4.24
b'Sound and Vision / A New Career in a New Town',b'David Bowie',11 February 1977 ,4.23
"b""Venus in Furs / All Tomorrow's Parties""",b'The Velvet Underground',March 1988 ,4.24
b'Something / Come Together',b'The Beatles',31 October 1969 ,4.19
b'The Court of the Crimson King (Parts 1 & 2)',b'King Crimson',October 1969 ,4.23
b'Move On Up / Beautiful Brother of Mine / Give It Up',b'Curtis Mayfield',June 1971 ,4.25
b'Ashes to Ashes / Move On',b'David Bowie',8 August 1980 ,4.21
,,,
b'Heaven or Las Vegas',b'Cocteau Twins',October 1990 ,4.23
b'Only Shallow',b'My Bloody Valentine',March 1992 ,4.23
b'Waterloo Sunset / Act Nice and Gentle',b'The Kinks',5 May 1967 ,4.23
b'Pictures of You',b'The Cure',6 March 1990 ,4.22
b'Once in a Lifetime / Born Under Punches (The Heat Goes On) / Houses in Motion',b'Talking Heads',1980,4.30
b'Shake / A Change Is Gonna Come',b'Sam Cooke',22 December 1964 ,4.20
"b'Paint It, Black / Long Long While'",b'The Rolling Stones',13 May 1966 ,4.19
,,,
b'Twin Peaks Theme',b'Angelo Badalamenti',25 May 1992 ,4.25
b'Train in Vain (Stand by Me) / London Calling',b'The Clash',12 February 1980 ,4.19
b'Glory Box',b'Portishead',2 January 1995 ,4.21
