,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Deafheaven,Dream House,2 May ,4.08,0.116,0.804,7,-4.669,1,0.0766,6.84e-06,0.916,0.384,0.0957,82.211,554573
1,Ennio Morricone,The Ecstasy of Gold,28 June ,4.27,0.134,0.474,9,-13.864,0,0.0518,0.826,0.58,0.195,0.133,98.854,203227
2,Pusha T,Numbers on the Boards,11 April ,3.97,0.807,0.556,0,-5.539,0,0.119,0.157,0.0,0.0906,0.383,87.852,163587
3,Kanye West,New Slaves,2013,4.02,0.579,0.59,1,-4.322,1,0.0708,0.166,1.09e-05,0.096,0.361,150.189,256093
4,SOPHIE,Bipp,16 June ,3.92,0.805,0.702,2,-3.883,1,0.167,0.0938,0.0842,0.127,0.339,82.699,224143
5,Sky Ferreira,Everything Is Embarrassing,16 April ,3.86,0.666,0.786,0,-5.715,1,0.0395,0.0532,0.0,0.0476,0.6,117.126,249907
6,Charles Bradley,Changes,29 November ,3.91,0.373,0.469,0,-7.282,1,0.0415,0.00591,0.00887,0.0656,0.22,150.74,360829
7,Boards of Canada,Reach for the Dead,23 May ,3.66,0.575,0.576,5,-9.782,0,0.0295,0.0245,0.917,0.116,0.0363,135.998,287404
8,Goldfrapp,Drew,15 July ,3.75,0.422,0.278,4,-12.231,0,0.029,0.409,0.101,0.108,0.236,92.159,279587
9,Earl Sweatshirt,Hive,16 July ,3.69,0.619,0.742,1,-6.995,1,0.496,0.204,0.0,0.166,0.782,144.602,277240
10,Lorde,Buzzcut Season,23 September ,3.73,0.733,0.62,1,-10.525,1,0.075,0.606,0.305,0.117,0.247,111.039,246755
11,Oneohtrix Point Never,Boring Angel,17 December ,3.76,0.26,0.455,2,-12.236,0,0.0449,0.0235,0.953,0.146,0.0279,100.697,256128
12,Lemon Demon,Two Trucks,3 May ,4.17,0.758,0.391,9,-12.676,0,0.0453,0.0529,0.000867,0.106,0.895,114.006,247220
13,Julia Holter,This Is a True Heart,18 November ,3.78,0.461,0.493,9,-12.006,0,0.05,0.306,0.786,0.047,0.234,133.943,210920
14,Queens of the Stone Age,My God Is the Sun,8 April ,3.64,0.187,0.855,11,-4.316,0,0.0624,0.000531,0.0204,0.361,0.257,160.9,235400
15,David Bowie,Love Is Lost,28 October ,3.68,0.697,0.882,6,-10.214,1,0.0647,0.0589,0.471,0.348,0.934,102.015,247627
16,Goldfrapp,Annabel,21 October ,3.71,0.589,0.143,2,-14.214,0,0.0302,0.976,0.0139,0.111,0.0899,99.947,240747
17,Nine Inch Nails,Copy of A,13 August ,3.66,0.635,0.832,8,-6.151,1,0.039,0.0238,0.384,0.223,0.681,137.979,322613
18,FKA twigs,Water Me,2 August ,3.62,0.476,0.452,10,-10.761,0,0.0984,0.655,0.04,0.141,0.197,120.287,204737
19,John Grant,GMF,19 March ,3.65,0.469,0.477,5,-9.138,1,0.0269,0.234,0.0,0.122,0.377,141.891,313987
20,Lorde,Team,13 September ,3.52,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961,193059
21,Parquet Courts,Borrowed Time,18 March ,3.63,0.4,0.726,0,-7.232,1,0.0311,0.0447,0.838,0.549,0.806,92.299,152040
22,David Lynch,I'm Waiting Here,3 June ,3.62,0.34,0.457,7,-10.285,1,0.0439,0.851,0.00219,0.0813,0.0526,150.807,302493
23,Chris Travis,Crunch Time,27 July ,3.7,0.844,0.709,4,-1.322,0,0.0544,0.304,0.0,0.517,0.101,109.959,233273
24,David Bowie,Valentine's Day,19 August ,3.6,0.563,0.752,2,-5.409,1,0.0314,0.00283,0.0,0.0632,0.51,95.964,182293
25,David Bowie,The Next Day,17 June ,3.57,0.515,0.841,6,-4.983,0,0.0352,0.00647,0.0,0.135,0.765,135.925,237133
26,Azealia Banks,Count Contessa,16 September ,3.55,0.595,0.957,0,-5.978,1,0.455,0.215,0.0,0.493,0.453,130.167,303231
27,Fuck Buttons,Brainfreeze,7 October ,3.59,0.35,0.814,7,-4.64,0,0.0516,9.82e-06,0.963,0.612,0.109,145.999,513575
28,Haim,Forever,10 December ,3.59,0.773,0.867,0,-4.595,1,0.0603,0.145,0.000333,0.105,0.592,117.984,245307
29,Foxygen,No Destruction,28 May ,3.56,0.599,0.676,2,-8.213,1,0.0261,0.31,0.0013,0.14,0.895,112.977,296573
30,David Bowie,Where Are We Now?,8 January ,3.45,0.547,0.463,0,-8.76,1,0.0233,0.0463,0.0199,0.123,0.43,79.972,249213
31,Fuzz,Sunderberry Dream,17 September ,3.61,0.117,0.623,9,-10.34,1,0.035,2.21e-05,0.611,0.331,0.478,172.641,151992
32,John Legend,Made to Love,18 June ,3.57,0.607,0.639,3,-6.099,0,0.0285,0.0348,0.00785,0.0927,0.359,107.006,240347
33,Atoms for Peace,Ingenue,25 July ,3.52,0.684,0.542,5,-10.559,1,0.0382,0.836,0.812,0.133,0.441,96.88,270067
34,Bladee,Everlasting Flames,28 December ,3.87,0.566,0.37,1,-7.737,0,0.0335,0.44,0.0,0.0653,0.21,116.958,200017
