artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
The Beach Boys,Wouldn’t It Be Nice,0.522,0.35200000000000004,193400,0.597,4.66e-06,9,0.142,-6.603,0,0.0361,125.014,0.316,4.45
David Bowie,Heroes - 2017 Remaster,0.000671,0.49,371413,0.758,0.484,7,0.092,-6.4910000000000005,1,0.0297,112.11399999999999,0.435,4.4
David Bowie,Life on Mars? - 2015 Remaster,0.639,0.442,235987,0.384,7.7e-05,10,0.0539,-14.635,1,0.0414,123.281,0.21600000000000005,4.4
The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,0.04,0.523,244587,0.769,0.0,4,0.136,-5.855,1,0.0269,136.162,0.8759999999999999,4.37
The Beatles,Penny Lane - Remastered 2009,0.212,0.6509999999999999,180893,0.488,0.026000000000000002,9,0.136,-8.22,1,0.0316,113.038,0.49,4.35
Kate Bush,Running Up That Hill (A Deal With God),0.72,0.629,298933,0.547,0.00314,10,0.0604,-13.123,0,0.055,108.375,0.19699999999999998,4.34
My Bloody Valentine,When You Sleep,0.000295,0.4,251933,0.82,0.79,11,0.23600000000000002,-12.280999999999999,1,0.0466,128.894,0.135,4.35
Radiohead,Let Down,0.000124,0.35200000000000004,299560,0.674,0.12,9,0.18,-9.017999999999999,1,0.031,102.48899999999999,0.145,4.32
The Velvet Underground,Sunday Morning,0.0869,0.505,175893,0.442,0.0023899999999999998,5,0.0846,-13.267999999999999,0,0.0276,105.82600000000001,0.532,4.35
Radiohead,How To Disappear Completely,0.315,0.168,356333,0.302,0.79,6,0.11,-11.645,0,0.0344,102.041,0.205,4.31
Radiohead,Paranoid Android,0.0377,0.252,387213,0.8490000000000001,0.00592,5,0.0545,-6.501,1,0.0581,163.704,0.19399999999999998,4.28
Television,Marquee Moon,0.0391,0.49,638427,0.536,0.371,7,0.11599999999999999,-10.83,1,0.0382,118.008,0.732,4.32
Joy Division,Love Will Tear Us Apart - 2010 Remaster,0.000989,0.525,204621,0.902,0.691,2,0.13699999999999998,-8.662,1,0.0368,146.83,0.907,4.24
The Beach Boys,Good Vibrations - Remastered,0.326,0.396,219027,0.473,0.000124,10,0.109,-7.67,0,0.0345,133.44899999999998,0.385,4.3
Talking Heads,Once in a Lifetime - 2005 Remaster,0.18100000000000002,0.644,259907,0.919,0.134,2,0.622,-6.289,1,0.0561,117.459,0.871,4.31
New Order,Blue Monday - 2016 Remaster,0.000726,0.7929999999999999,450800,0.703,0.88,0,0.075,-9.548,1,0.0581,130.27,0.856,4.27
